[-0.5364293936021729, -0.8265680606235293]
[-0.7475879827627373, -0.53737067910595]
[-0.7475879827627373, -0.6702076885277852]
[-0.7475879827627373, -0.7245727211174114]
[-0.7475879827627373, -0.80227444446706]
[-0.6370432630409879, -0.9349120941639971]
[-0.7475879827627373, -0.5379266810850521]
[-0.7475879827627373, -0.22767915331120292]
[-0.7475879827627373, -0.537215993730441]
[-0.2311592817004842, -0.8603469706040727]
[-0.7475879827627373, -0.868696409012027]
[-0.23101862407244844, -0.9349120941639971]
[-0.3606768520518221, -0.9349120941639971]
[-0.16649264049916873, -0.9349120941639971]
[-0.7475879827627373, -0.8270079957910987]
[-0.7475879827627373, -0.8270079957910987]
[-0.7475879827627373, -0.7758955281407782]
[-0.7475879827627373, -0.6692821486479383]
[-0.2298848596551944, -0.7948572074774285]
[-0.7475879827627373, -0.8780636718106964]
[-0.06480095560304432, -0.9349120941639971]
[-0.1943852169278201, -0.8268743684246925]
[-0.7475879827627373, -0.8268743684246925]
[-0.7475879827627373, -0.6963872451291688]
[-0.7475879827627373, -0.8527710865493543]
[-0.28271170895188247, -0.8312634132463559]
[-0.7475879827627373, -0.8312634132463559]
[-0.7475879827627373, -0.6364319501951428]
[-0.18624731659378016, -0.826520775366669]
[-0.14027051084827788, -0.8312634132463559]
[-0.14027051084827788, -0.6863704535686511]
[-0.08248646601976162, -0.6863679086520962]
[-0.07006912766202723, -0.6364427340319747]
[-0.16584337196032675, -0.8265517749348785]
[-0.14027051084827788, -0.5370125336869789]
[-0.165882032433743, -0.8428949649027164]
[-0.7475879827627373, -0.8023982891446481]
[-0.7475879827627373, -0.8213742660234189]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.8213742660234189]
[-0.23105878963956525, -0.8213742660234189]
[-0.047473112565666796, -0.9349120941639971]
[-0.7475879827627373, -0.8950784443751809]
[-0.7475879827627373, -0.33901697306125317]
[-0.3607329017592986, -0.4883480158445785]
[-0.36019108792035825, -0.6367560328704618]
[-0.3618395853452194, -0.7645372019962626]
[-0.3603460466782952, -0.9349120941639971]
[-0.7475879827627373, -0.8951579526581925]
[-0.4896845954271115, -0.8356261257532499]
[-0.7475879827627373, -0.4385313987137708]
[-0.2105757354295084, -0.9349120941639971]
[-0.416110987523693, -0.7181599493326205]
[-0.24950626082253569, -0.5674548942995319]
[-0.45769322774585586, -0.6698158241226984]
[-0.16649264049916873, -0.756018457387876]
[-0.2635547196464901, -0.8939156357361361]
[-0.7475879827627373, -0.9349120941639971]
[-0.5151498458573098, -0.6262328777659841]
[-0.5814753810668277, -0.53737067910595]
[-0.7475879827627373, -0.6154962093695314]
[-0.21081642936852202, -0.7184728792990603]
[-0.11344277547985616, -0.8583055733060961]
[-0.7475879827627373, -0.6097139714973272]
[-0.5538895353415478, -0.8467180323359935]
[-0.7475879827627373, -0.6950472178874002]
[-0.7475879827627373, -0.8025564201768907]
[-0.3596675786030037, -0.7112223272032863]
[-0.7475879827627373, -0.5139858899848885]
[-0.5538895353415478, -0.6097120182967947]
[-0.4741313511092933, -0.8554779793268389]
[-0.41536277937091826, -0.8554038111523877]
[-0.083735103323329, -0.9349120941639971]
