[-0.5174089244092167, -1.4091197952645589]
[-0.5883456531038171, -0.846129032206963]
[-1.008651949776876, -1.4091197952645589]
[-0.8249516452869028, -0.3014943860738029]
[-0.670957667443593, -0.5761050898278433]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.42349170867913194]
[-1.008651949776876, -0.42349170867913194]
[-1.008651949776876, -0.9706940375787615]
[-0.1992064478259889, -0.17477462120484055]
[-0.1281219986461659, -0.2905812545789758]
[-0.5194686435931483, -1.0796384063202877]
[-0.4183341173708944, -1.2108867306591753]
[-0.5883456531038171, -1.4091197952645589]
[-0.4216319823564026, -0.8177429433133028]
[-1.008651949776876, -0.4279049687683204]
[-1.008651949776876, -0.18875659858444474]
[-1.008651949776876, -1.4091197952645589]
[-0.644864927713484, -1.2869574408708722]
[-0.6590523618497616, -1.4091197952645589]
[-1.008651949776876, -1.0392071876371387]
[-1.008651949776876, -0.3258398317087458]
[-1.008651949776876, -0.19518109185576407]
[-0.15160279734298482, -1.224621441690205]
[-1.008651949776876, -0.4227901940267579]
[-0.8614858795131999, -0.8193948339612113]
[-0.7644516433299591, -0.2826876963097853]
[-0.8861115315778523, -1.2119941779474734]
[-0.17005199631905688, -1.4091197952645589]
[-0.127460940124296, -0.31397747683630683]
[-0.8861115315778523, -0.10695345779496582]
[-0.8614858795131999, -0.9729793669505075]
[-1.008651949776876, -0.24430452253790128]
[-1.008651949776876, -0.8715044753088715]
[-1.008651949776876, -0.2645843232908692]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.4091197952645589]
[-0.10507502532942672, -1.2682553519886157]
[-0.6288973263034419, -0.2826876963097853]
[-1.008651949776876, -1.0145725762200022]
[-1.008651949776876, -1.127624413735761]
[-0.3793665447021285, -0.7937482520668411]
[-1.008651949776876, -0.9861034490905559]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.4986883342505202]
[-0.7151419660666393, -1.4091197952645589]
[-1.008651949776876, -1.2683721045001601]
[-1.008651949776876, -0.48969061001695907]
[-0.8863561232309441, -0.7514203057112928]
[-1.008651949776876, -0.3792974170548177]
[-1.008651949776876, -0.09632751397105557]
[-1.008651949776876, -1.0154587570894213]
[-0.2746016528054961, -0.7309179122182993]
[-0.17005199631905688, -1.4091197952645589]
[-1.008651949776876, -0.42349170867913194]
[-1.008651949776876, -0.21080354262648723]
[-1.008651949776876, -0.5173235025220646]
[-1.008651949776876, -0.8903681707459132]
[-0.16994717132487464, -0.9163057519718454]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.786617845842184]
[-1.008651949776876, -0.17708468703277525]
[-1.008651949776876, -0.1783483127848079]
[0.03820032545630159, -0.8165185605970476]
[-1.008651949776876, -0.5191556112006588]
[-1.008651949776876, -0.14299600850828892]
[-1.008651949776876, -0.39206146319359053]
[-0.7060549696669416, -1.1625030655146733]
[-1.008651949776876, -0.8617359854361671]
[-0.6035119394752051, -0.47040760560059836]
[-1.008651949776876, -0.9699734593042456]
[-1.008651949776876, -0.5768701970194311]
[-1.008651949776876, -0.4270118089883656]
[-1.008651949776876, -1.1134313692889308]
[-1.008651949776876, -0.4230775792309869]
[-1.008651949776876, -0.37910082539017]
[-0.8454949294203034, -0.49354959100465423]
[-1.008651949776876, -0.47040760560059836]
[-1.008651949776876, -1.3333197599682665]
[-1.008651949776876, -1.4091197952645589]
[-0.641078699149103, -1.0159698210623274]
[-1.008651949776876, -0.8543371910113956]
[-1.008651949776876, -0.46755508196177464]
[-0.8546047844134289, -0.21322438354090753]
[-1.008651949776876, -1.3195856408342796]
[-0.7982108293808573, -0.5475567825150599]
[-1.008651949776876, -0.2123701725325335]
[-1.008651949776876, -0.1619375887324365]
[-1.008651949776876, -0.2788123565198032]
[-1.008651949776876, -0.670522545570163]
[-0.7647492872571019, -1.1899818173470658]
[-0.6098832132877958, -0.5642393994435309]
[-1.008651949776876, -1.2298780163534573]
[-1.008651949776876, -0.3677901580977904]
[-1.008651949776876, -0.42349170867913194]
[-0.6423514901065007, -0.6044717992445323]
[-1.008651949776876, -0.3624256207059045]
[-0.8494227836140726, -0.21322438354090753]
[-1.008651949776876, -0.42349170867913194]
[-1.008651949776876, -0.11350079311898346]
[-0.2373780809105442, -0.25978681383821917]
[-1.008651949776876, -0.5751267989230437]
[-1.008651949776876, -0.45087026663983826]
[-1.008651949776876, -0.11334740410025114]
[-1.008651949776876, -0.14179920153301695]
[-1.008651949776876, -0.6418577044216879]
[-0.47753864592025724, -0.3720063059451526]
[-1.008651949776876, -1.4091197952645589]
[-0.7151419660666393, -1.4091197952645589]
[-1.008651949776876, -0.2503549230990465]
[-0.14598107172906397, -0.2503549230990465]
[-0.14598107172906397, -1.1978011335006433]
[-1.008651949776876, -0.42302458636321477]
[-0.06522700213682953, -0.4895239351695841]
[-0.030529929062512152, -0.3140869910681497]
[-0.030529929062512152, -0.42302458636321477]
[-0.4224295638338761, -0.19220808095392722]
[-0.23217051139000647, -1.4091197952645589]
[-0.06791482250047638, -0.4879545882757144]
[-0.2748769905012842, -0.5538740067471255]
[-1.008651949776876, -0.5220545173376747]
[-0.7303235169482034, -0.31375679324569156]
[-0.029792457503945474, -0.3888033415541594]
[-1.008651949776876, -0.31375679324569156]
[-0.3051850866452761, -0.3345819586005498]
[-0.030285337409420313, -0.42397016891533845]
[-0.3309665947181619, -0.17814831446434226]
[-0.7640602966850122, -0.2273115379678839]
[-0.3051850866452761, -0.5817949247440215]
[-0.08216841533799744, -0.5443629719723242]
[-0.567240450837653, -0.18212924023183452]
[-0.4224295638338761, -1.4091197952645589]
[-1.008651949776876, -0.2273115379678839]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.199557007406923]
[-0.27188199066750635, -0.29630339783593]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.24779278889651243]
[-1.008651949776876, -0.9166503771769453]
[-0.642277599481231, -1.4091197952645589]
[-0.23818824253750467, -0.13432198697986256]
[-1.008651949776876, -0.29915093467912424]
[-1.008651949776876, -0.7200761601880196]
[-1.008651949776876, -0.7946750519251331]
[-1.008651949776876, -1.2119941779474734]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.5309474023294228]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.4091197952645589]
[-0.8613431654996629, -1.4091197952645589]
[-0.2770351521462124, -1.4091197952645589]
[-0.8180831487592151, -0.33959113601938073]
[-1.008651949776876, -1.080270050487926]
[-0.5176399209532091, -1.4091197952645589]
[-0.42716990657735043, -0.37683864591408833]
[-0.030285337409420313, -1.014868560630388]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.42349170867913194]
[-1.008651949776876, -0.28093520001849287]
[-1.008651949776876, -0.09376570259472751]
[-1.008651949776876, -0.422603755447974]
[-1.008651949776876, -0.42349170867913194]
[-0.8361227837249807, -1.4091197952645589]
[-0.7883139227899197, -0.2603691115985602]
[-1.008651949776876, -1.338632453314813]
[-1.008651949776876, -1.3118072547919597]
[-0.642277599481231, -0.20527623274078638]
[-1.008651949776876, -1.0640711147127326]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.09580237080137959]
[-0.8354499452552876, -1.1707515842534735]
[-0.8685498508858565, -0.7039433719635844]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.3334261350202532]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.6652495412378217]
[-1.008651949776876, -0.42397016891533845]
[-1.008651949776876, -0.11224073396794458]
[-1.008651949776876, -0.5130942620050799]
[-1.008651949776876, -0.19535279381000506]
[-1.008651949776876, -0.3249289000205893]
[-0.6830220055851417, -0.30753546319849345]
[-0.7320103559350438, -0.07852187837423245]
[-0.2356541848703367, -0.36117791896681334]
[-1.008651949776876, -0.1763265115815556]
[-1.008651949776876, -0.42418581296545976]
[-1.008651949776876, -0.2273115379678839]
[-0.6091522497268316, -1.4091197952645589]
[-1.008651949776876, -1.2299879332066626]
[-0.4216319823564026, -0.5516838279160097]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.0154587570894213]
[-1.008651949776876, -0.25922036091489425]
[-0.16747529255144908, -1.2450781976370542]
[-1.008651949776876, -0.9163057519718454]
[-1.008651949776876, -0.347674163557176]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.4091197952645589]
[-0.44337346263123495, -0.917321863401315]
[-1.008651949776876, -1.080270050487926]
[-0.4002714175041751, -1.3195856408342796]
[-1.008651949776876, -0.7378817957848426]
[-1.008651949776876, -0.724977946928792]
[-1.008651949776876, -1.177207304303282]
[-1.008651949776876, -0.3520467098102413]
[-1.008651949776876, -0.941997479347295]
[-1.008651949776876, -0.08923522714146528]
[-1.008651949776876, -0.5978453190574711]
[-1.008651949776876, -1.347496463055978]
[-0.7336307839381503, -0.1086719267230986]
[-0.7423188164101798, -1.2564329009264696]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.9148236044732208]
[-0.03564625035389948, -0.917321863401315]
[-1.008651949776876, -0.8668369658770636]
[-1.008651949776876, -0.4850934640907212]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -0.3343158341785457]
[-0.28186532344676607, -0.17878404580275017]
[0.04945614196849148, -0.8465267723905763]
[-1.008651949776876, -1.0460635236401625]
[-0.7990019614124212, -0.3444924064651015]
[-0.5846930844176452, -0.31418508675449214]
[-0.8614858795131999, -0.08319980417149235]
[-1.008651949776876, -1.364227320074027]
[-0.7988901480852935, -1.0571097643411922]
[-0.7988901480852935, -0.5875987850956055]
[-1.008651949776876, -0.09833605124888803]
[-1.008651949776876, -0.09494901315065633]
[-1.008651949776876, -0.43093041121939935]
[-0.4829624267137655, -0.5594046343030171]
[-0.3981511836595837, -1.4091197952645589]
[-0.7151419660666393, -0.33209090341792286]
[-1.008651949776876, -0.4458078162999342]
[-0.4183341173708944, -0.845239005814613]
[-1.008651949776876, -0.4586927117714686]
[-1.008651949776876, -1.3167602402978125]
[-1.008651949776876, -1.080270050487926]
[-0.7645174773449969, -0.11909964566205736]
[-0.5650516334875411, -1.2108867306591753]
[-1.008651949776876, -0.8452694934792021]
[-0.4850936004559133, -0.23554400471891487]
[-1.008651949776876, -1.4091197952645589]
[-1.008651949776876, -1.2683640034473935]
[-0.6415014683615621, -0.42349170867913194]
[-1.008651949776876, -0.4245255842944314]
[-1.008651949776876, -0.4317052760673439]
[-1.008651949776876, -0.09527755584618477]
[-1.008651949776876, -0.13626880001159955]
[-1.008651949776876, -0.5220545173376747]
[-0.5642793281290622, -1.0154587570894213]
