[-0.5174089244092167, -0.9347213081633378]
[-0.5883456531038171, -0.594310248652261]
[-0.7151419660666393, -0.6963382132676257]
[-0.9389922469763133, -0.8778272095148945]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.6701742150473646]
[-1.008651949776876, -0.7245069387667663]
[-1.008651949776876, -0.8021624843661895]
[-1.008651949776876, 0.3130180556262433]
[-1.008651949776876, -0.5379718215536912]
[-1.008651949776876, -0.22790867235251686]
[-1.008651949776876, -0.5372615565570631]
[-1.008651949776876, -0.8685449746658501]
[-0.670957667443593, -0.8258678030961631]
[-1.008651949776876, -0.3066304264710308]
[-1.008651949776876, -0.8354943449129977]
[-1.008651949776876, -0.9347213081633378]
[-0.7430952978485666, -0.8718895648254408]
[-1.008651949776876, -0.8268813366628965]
[-0.7430952978485666, -0.7559339869915538]
[-1.008651949776876, -0.8268813366628965]
[-0.7430952978485666, -0.8362587254890219]
[-1.008651949776876, -0.7757992448995297]
[-1.008651949776876, -0.6692492252112948]
[-1.008651949776876, -0.8779066705465264]
[-0.31928968540480696, -0.9347213081633378]
[-1.008651949776876, -0.8526291165436223]
[-0.7427664351217205, -0.8312042655853368]
[-0.7427664351217205, -0.7273606708225472]
[-0.5690759647836108, -0.8311342251445882]
[-0.6258827655410606, -0.7857318738535177]
[-0.7537405392668898, -0.7855654052118307]
[-0.881110006994712, -0.8311342251445882]
[-0.881110006994712, -0.6863273746368347]
[-0.7988880212013537, -0.686324831232711]
[-0.8087818804406827, -0.7273606708225472]
[-0.7643290787213768, -0.6364293268971623]
[-0.8864927666125597, -0.8264253869364769]
[-0.881110006994712, -0.5370582174288994]
[-0.5803276690868718, -0.2533054803010667]
[-0.7636625866799847, -0.9347213081633378]
[-0.7537405392668898, -0.9347213081633378]
[-0.7419725185941679, -0.6959802806927072]
[-1.008651949776876, -0.7644476689521148]
[-1.008651949776876, -0.8022862554434977]
[-1.008651949776876, 0.25719416631522224]
[-1.008651949776876, -0.9347213081633378]
[-0.5893519730479665, -0.8212509549929788]
[-0.6825297456543907, -0.8212509549929788]
[-1.008651949776876, 0.25402417835118346]
[-0.8685498508858565, -0.8949113313157538]
[-0.5568617130710666, 0.3499639421613366]
[-0.8685498508858565, 0.354604517275145]
[-0.8685498508858565, 0.3395918012900444]
[-0.8685498508858565, -0.6367424395436977]
[-0.5194686435931483, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-0.8248776806970433, 0.31579851311952833]
[-0.37929881162896467, -0.9347213081633378]
[-0.6941769672301938, -0.6697825835253574]
[-1.008651949776876, -0.8937492137281373]
[-0.6417644701390802, 0.2537886935309977]
[-1.008651949776876, -0.6262255382982987]
[-1.008651949776876, -0.03175503961897414]
[-0.8750929108678583, -0.6154952506508191]
[-1.008651949776876, -0.7360687290835778]
[-1.008651949776876, -0.9347213081633378]
[-0.5416690469344677, -0.8581603141822332]
[-0.7735151000818404, -0.7360687290835778]
[-0.5186600761449106, -0.8155297607154818]
[-1.008651949776876, -0.8024442924992493]
[-0.5194686435931483, -0.7643601246646027]
[-0.875548585071071, -0.8069504205392865]
[-0.8746774226779092, -0.9347213081633378]
[-0.4183341173708944, -0.5730467108707035]
[-0.7823881887495777, -0.7357744289664225]
[-0.741599204034886, -0.9347213081633378]
[-0.48501203025270045, -0.9347213081633378]
[-0.5883456531038171, -0.9347213081633378]
[-0.8258096648426303, -0.8021624843661895]
[-0.7803664068911363, -0.7290633484611178]
[-0.8129786273033849, -0.8023698106818068]
[-0.2996442057513924, -0.8155297607154818]
[-1.008651949776876, 0.16573694015717202]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, 0.25719416631522224]
[-1.008651949776876, -0.384267733127057]
[-0.7151419660666393, 0.18729931713220757]
[-1.008651949776876, -0.7863399939935579]
[-1.008651949776876, -0.4762922795177377]
[-1.008651949776876, -0.8646201838818146]
[-1.008651949776876, -0.9347213081633378]
[-0.39767198368617923, -0.26087848877128345]
[-1.008651949776876, -0.33876357092405773]
[-1.008651949776876, -0.4565190756315781]
[-0.40454939071189144, -0.45795511837191377]
[-1.008651949776876, 0.010297389458949138]
[-0.8614858795131999, -0.8267477887105742]
[-0.7827568314239713, -0.9347213081633378]
[-1.008651949776876, -0.8155297607154818]
[-1.008651949776876, -0.8645394430542382]
[-1.008651949776876, -0.8262158994521861]
[-1.008651949776876, -0.6838263933697846]
[-1.008651949776876, -0.6747822951121625]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.5939841334889836]
[-0.6098832132877958, -0.8494346877021153]
[-1.008651949776876, -0.07777518254685584]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.5179676457582468]
[-1.008651949776876, -0.3333457733127915]
[-0.5885726050614815, 0.25719416631522224]
[-0.6936236388151557, -0.9347213081633378]
[-1.008651949776876, -0.8778931400303042]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-0.9552864981931968, 0.2483651628005663]
[-0.8618969579217577, -0.9347213081633378]
[-0.644864927713484, -0.20057845125010001]
[-0.6590523618497616, -0.6696155531636581]
[-0.5708743469548281, 0.26802976153775454]
[-0.6822688478910929, -0.8493909957858954]
[-1.008651949776876, -0.6970040878343736]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-0.7151419660666393, -0.9347213081633378]
[-1.008651949776876, -0.8155297607154818]
[-1.008651949776876, -0.9347213081633378]
[-0.7643048883381041, -0.8155297607154818]
[-1.008651949776876, 0.12475911359538223]
[-1.008651949776876, 0.05844226094592227]
[-1.008651949776876, -0.8155297607154818]
[-0.3558272529124705, -0.8263653559380141]
[-0.3793843331859898, -0.9347213081633378]
[-0.8861115315778523, -0.9347213081633378]
[-0.7418246918584791, -0.8430566769851945]
[-0.8614858795131999, 0.13340358809767397]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.8685699993297776]
[-1.008651949776876, -0.6362499124881281]
[-1.008651949776876, -0.593516320404883]
[-0.8354810593878365, -0.9347213081633378]
[-1.008651949776876, -0.5954838269655938]
[-1.008651949776876, -0.9347213081633378]
[-1.008651949776876, -0.9347213081633378]
[-0.6288973263034419, -0.8685449746658501]
