Age;Not Active;Somewhat Active;Very Active
2;1000;1100;1200
3;1000;1100;1200
4;1300;1500;1600
5;1300;1500;1600
6;1300;1500;1600
7;1300;1500;1600
8;1300;1500;1600
9;1500;1800;2000
10;1500;1800;2000
11;1500;1800;2000
12;1500;1800;2000
13;1500;1800;2000
14;1800;2000;2400
15;1800;2000;2400
16;1800;2000;2400
17;1800;2000;2400
18;1800;2000;2400
19;1900;2100;2400
20;1900;2100;2400
21;1900;2100;2400
22;1900;2100;2400
23;1900;2100;2400
24;1900;2100;2400
25;1900;2100;2400
26;1900;2100;2400
27;1900;2100;2400
28;1900;2100;2400
29;1900;2100;2400
30;1900;2100;2400
31;1800;2000;2200
32;1800;2000;2200
33;1800;2000;2200
34;1800;2000;2200
35;1800;2000;2200
36;1800;2000;2200
37;1800;2000;2200
38;1800;2000;2200
39;1800;2000;2200
40;1800;2000;2200
41;1800;2000;2200
42;1800;2000;2200
43;1800;2000;2200
44;1800;2000;2200
45;1800;2000;2200
46;1800;2000;2200
47;1800;2000;2200
48;1800;2000;2200
49;1800;2000;2200
50;1800;2000;2200
51;1600;1800;2100
