Age;Vitamin A (μg/d);Vitamin C (mg/d);Vitamin D (μg/d);Vitamin E (mg/d);Vitamin K (μg/d);Thiamin (mg/d);Riboflavin (mg/d);Niacin (mg/d);Vitamin B6 (mg/d);Folate (μg/d);Vitamin B12 (μg/d);Pantothenic Acid (mg/d);Calcium (mg/d);Copper (μg/d);Iodine (μg/d);Iron (mg/d);Magnesium (mg/d);Manganese (mg/d);Phosphorus (mg/d);Selenium (μg/d);Zinc (mg/d);Potassium (g/d);Sodium (g/d);Carbohydrate (g/d);Total Fiber (g/d);Fat (g/d);Protein (g/d);Added Sugars (g/d)
2;300;15;15;6;30;0.5;0.5;6;0.5;150;0.9;2;700;340;90;7;80;1.2;460;20;3;3;1;130;19;35;13;0
3;300;15;15;6;30;0.5;0.5;6;0.5;150;0.9;2;700;340;90;7;80;1.2;460;20;3;3;1;130;19;35;13;0
4;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
5;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
6;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
7;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
8;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
9;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.9;1250;40;8;4.5;1.5;130;31;30;34;0
10;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.9;1250;40;8;4.5;1.5;130;31;30;34;0
11;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.9;1250;40;8;4.5;1.5;130;31;30;34;0
12;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.9;1250;40;8;4.5;1.5;130;31;30;34;0
13;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.9;1250;40;8;4.5;1.5;130;31;30;34;0
14;900;75;15;15;75;1.2;1.3;16;1.3;400;2.4;5;1300;890;150;11;410;2.2;1250;55;11;4.7;1.5;130;38;30;52;0
15;900;75;15;15;75;1.2;1.3;16;1.3;400;2.4;5;1300;890;150;11;410;2.2;1250;55;11;4.7;1.5;130;38;30;52;0
16;900;75;15;15;75;1.2;1.3;16;1.3;400;2.4;5;1300;890;150;11;410;2.2;1250;55;11;4.7;1.5;130;38;30;52;0
17;900;75;15;15;75;1.2;1.3;16;1.3;400;2.4;5;1300;890;150;11;410;2.2;1250;55;11;4.7;1.5;130;38;30;52;0
18;900;75;15;15;75;1.2;1.3;16;1.3;400;2.4;5;1300;890;150;11;410;2.2;1250;55;11;4.7;1.5;130;38;30;52;0
19;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
20;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
21;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
22;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
23;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
24;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
25;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
26;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
27;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
28;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
29;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
30;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;400;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
31;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
32;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
33;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
34;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
35;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
36;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
37;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
38;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
39;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
40;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
41;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
42;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
43;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
44;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
45;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
46;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
47;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
48;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
49;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
50;900;90;15;15;120;1.2;1.3;16;1.3;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.5;130;38;27.5;56;0
51;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
52;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
53;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
54;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
55;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
56;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
57;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
58;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
59;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
60;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
61;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
62;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
63;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
64;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
65;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
66;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
67;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
68;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
69;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
70;900;90;15;15;120;1.2;1.3;16;1.7;400;2.4;5;1000;900;150;8;420;2.3;700;55;11;4.7;1.3;130;30;27.5;56;0
71;900;90;20;15;120;1.2;1.3;16;1.7;400;2.4;5;1200;900;150;8;420;2.3;700;55;11;4.7;1.2;130;30;27.5;56;0
